%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.position0,field.position1,field.position2,field.position3,field.position4,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4
481139000000,24040,481139000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656376,0.235641334316,0.494343677008,0.199479226335,-0.811588121316,-5.429389842e-07,-7.14952836228e-07,-1.20738386787e-06,-9.34806832744e-07,-2.28601649475e-07,0.0,0.0,0.0,0.0,0.0
481159000000,24041,481159000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656378,0.235641334313,0.494343677006,0.199479226333,-0.81158812132,-5.44530210543e-07,-7.1814640838e-07,-1.20990996369e-06,-9.36677128546e-07,-2.32453159378e-07,0.0,0.0,0.0,0.0,0.0
481179000000,24042,481179000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.23564133638,0.494343678641,0.199479227544,-0.811588118827,4.84951035286e-07,1.34866072379e-06,4.24763723812e-07,2.73487116012e-07,2.26032069679e-06,0.0,0.0,0.0,0.0,0.0
481201000000,24043,481199000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336377,0.494343678638,0.199479227542,-0.811588118831,4.83506759928e-07,1.34576275041e-06,4.22471293413e-07,2.71789687832e-07,2.25682584087e-06,0.0,0.0,0.0,0.0,0.0
481219000000,24044,481219000000,,end,joint2,joint4,joint6,motortom2m,-0.11765365535,0.235641336377,0.494343678639,0.199479227542,-0.81158811883,4.83705304894e-07,1.34616296675e-06,4.22787440015e-07,2.72023407779e-07,2.25730894875e-06,0.0,0.0,0.0,0.0,0.0
481245000000,24045,481239000000,,end,joint2,joint4,joint6,motortom2m,-0.117653655349,0.235641336379,0.49434367864,0.199479227543,-0.811588118829,4.84337001041e-07,1.34743226107e-06,4.23791082844e-07,2.72766193808e-07,2.25884011813e-06,0.0,0.0,0.0,0.0,0.0
481259000000,24046,481259000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334322,0.494343677013,0.199479226338,-0.811588121309,-5.4022269977e-07,-7.0950293809e-07,-1.20307265351e-06,-9.31614518299e-07,-2.22029357697e-07,0.0,0.0,0.0,0.0,0.0
481279000000,24047,481279000000,,end,joint2,joint4,joint6,motortom2m,-0.117653656374,0.235641334321,0.494343677012,0.199479226338,-0.811588121311,-5.40729774554e-07,-7.10519736461e-07,-1.20387713017e-06,-9.32210326348e-07,-2.23255435867e-07,0.0,0.0,0.0,0.0,0.0
481299000000,24048,481299000000,,end,joint2,joint4,joint6,motortom2m,-0.117655933713,0.235642386727,0.494347355058,0.199480932639,-0.811592280274,-5.42411598376e-07,-7.13893788731e-07,-1.20654963807e-06,-9.34189174751e-07,-2.27321760115e-07,0.0,0.0,0.0,0.0,0.0
481319000000,24049,481319000000,,end,joint2,joint4,joint6,motortom2m,-0.117741972228,0.235682147098,0.494486312905,0.199545397301,-0.811749407086,-5.44065738962e-07,-7.17130899467e-07,-1.20925779236e-06,-9.36206256695e-07,-2.31108428308e-07,0.0,0.0,0.0,0.0,0.0
